,ds,yhat,yhat_lower,yhat_upper
314,2021-11-20 14:47:59,29858707.6216719,16259445.329654394,43416462.95983706
315,2021-11-20 14:48:04,29864213.084198583,16974621.19123506,43831247.82701196
316,2021-11-20 14:48:09,29869718.546725266,16877837.350005575,43080117.64237857
317,2021-11-20 14:48:14,29875224.009251952,16181649.437183395,43474990.62697185
318,2021-11-20 14:48:19,29880729.47177863,15391513.107759234,45519631.18629055
319,2021-11-20 14:48:24,29886234.934305318,14109671.612037122,44055745.08074321
320,2021-11-20 14:48:29,29891740.396832,15871901.005019689,43741170.09924048
321,2021-11-20 14:48:34,29897245.859358683,14168554.91065747,45473894.427639514
322,2021-11-20 14:48:39,29902751.32188537,16288197.916238256,44145773.89419456
323,2021-11-20 14:48:44,29908256.784412052,16704138.791965669,44186525.66586434
324,2021-11-20 14:48:49,29913762.246938735,16042119.434771864,43933170.62351402
325,2021-11-20 14:48:54,29919267.709465418,16147339.892757831,43809921.50470953
326,2021-11-20 14:48:59,29924773.1719921,16862597.373970717,44437671.149952516
327,2021-11-20 14:49:04,29930278.634518787,16437259.736711618,43740616.81453665
328,2021-11-20 14:49:09,29935784.09704547,16980523.146097768,44489789.305978544
329,2021-11-20 14:49:14,29941289.559572157,15828524.616417402,43384082.35809831
330,2021-11-20 14:49:19,29946795.022098836,15028691.611684918,42286221.73516559
331,2021-11-20 14:49:24,29952300.48462552,16476765.284297839,43830793.41514661
332,2021-11-20 14:49:29,29957805.947152205,16165325.479485443,43511737.53225591
333,2021-11-20 14:49:34,29963311.409678888,17154755.86586841,45346742.15100219
334,2021-11-20 14:49:39,29968816.872205574,15788046.340262022,42767823.14391266
335,2021-11-20 14:49:44,29974322.334732253,15765222.206869524,44073064.97755354
336,2021-11-20 14:49:49,29979827.797258936,16856056.48872203,43878696.958244696
337,2021-11-20 14:49:54,29985333.259785622,16539782.268707616,43944878.77183564
338,2021-11-20 14:49:59,29990838.722312305,16931312.105991267,43829140.53845974
339,2021-11-20 14:50:04,29996344.18483899,16756329.576316714,43377306.23992901
340,2021-11-20 14:50:09,30001849.647365674,16120206.75316129,44080195.434665374
341,2021-11-20 14:50:14,30007355.109892357,15159405.440675925,44419299.41332143
342,2021-11-20 14:50:19,30012860.57241904,17612564.43979816,43623317.635299005
343,2021-11-20 14:50:24,30018366.034945723,15276759.242016284,43387391.71242403
344,2021-11-20 14:50:29,30023871.49747241,16860190.545740154,44294881.920004286
345,2021-11-20 14:50:34,30029376.959999092,17053685.37729613,43290703.191295825
346,2021-11-20 14:50:39,30034882.420849826,16641905.978254968,44001276.01038652
347,2021-11-20 14:50:44,30040387.881700564,16547052.364294712,42273928.33662462
348,2021-11-20 14:50:49,30045893.3425513,16139570.762046844,44018510.88959725
349,2021-11-20 14:50:54,30051398.80340204,16120451.14763478,42600334.25358132
350,2021-11-20 14:50:59,30056904.264252774,15611695.407657849,43301098.58478619
